第7439次会议，2015年5月11日举行。	7439th meeting, held on 11 May 2015.
回顾其以往关于利比里亚和次区域局势的各项决议，尤其是第1509(2003)号、第2066(2012)号、第2116(2013)号、第2176(2014)号、第2177(2014)号和第2190(2014)号决议，	Recalling its previous resolutions concerning the situation in Liberia and the subregion, in particular resolutions 1509 (2003), 2066 (2012), 2116 (2013), 2176 (2014), 2177 (2014) and 2190 (2014),
维也纳	Vienna
6. 阿尔及利亚坚信，核裁军、不扩散核武器和大规模毁灭性武器对于维护与巩固国际和平与安全以及社会经济发展来说是至关重要的因素。	6. Algeria remains convinced that disarmament and non-proliferation of nuclear weapons and all weapons of mass destruction are vital to preserve and consolidate international peace and security and for socio-economic development.
第二条	Article II
23. 有报告称，政府军和附属民兵在接管了阿勒颇省Raitan村之后，处决了至少22名平民，其中包括3名妇女和3名儿童，人权高专办正就此进行调查。	23. OHCHR is investigating reports of the execution by government forces and affiliated militias of at least 22 civilians, including 3 women and 3 children, following their takeover of the village of Raitan, in Aleppo governorate.
特使将在两组人向其提供的评估意见的基础上，审查是否具备条件，在最初为期六周的时间里执行"冻结"倡议。	On the basis of the assessment provided to him by both missions, the Special Envoy will review whether conditions are in place for the implementation of the freeze initiative for an initial six-week period.
全权证书委员会的最后报告	Final report of the Credentials Committee
108. 2015年适逢非洲联盟为实现2063年议程增强妇女权能和谋求发展年，也是《北京宣言》二十周年和非洲妇女十年中点，因此，联合国系统应进一步加强协调，进一步支持加快履行在这些框架内所作的有关性别平等和增强妇女权能的各项承诺。	108. Since 2015 coincides with the African Union's Year for Women's Empowerment and Development towards Agenda 2063, the twentieth anniversary of the Beijing Declaration and the midpoint of the African Women's Decade, the United Nations system should further strengthen its coordination and enhance its support towards accelerating the implementation of all commitments relating to gender equality and women's empowerment made in these frameworks.
2015年1月的非洲联盟大会第二十四届常会通过2063年议程后，联合国一直在作出努力，重新聚焦其与非洲联盟的伙伴关系并加强区域协调机制，以支持非洲联盟委员会2014-2017年战略计划和2063年议程的十年执行计划。	Following the adoption of Agenda 2063 by the African Union at the twenty-fourth ordinary session of its Assembly, in January 2015, the United Nations has been working to refocus its partnership with the African Union and strengthen the Regional Coordination Mechanism in order to support the Strategic Plan 2014-2017 of the African Union Commission and the 10-Year Implementation Plan for Agenda 2063.
11. 报告承认，男女生在不同类型的中专和职业培训机构中的比率，以及在高等教育、学士学位课程和硕士课程的入学率方面存在差异(第189和第192段)。	11. It is acknowledged that there is a difference in the ratio of girls and boys in terms of types of special secondary and vocational training institutions attended and in their enrolment in higher learning, baccalaureate programmes and master's programmes (paras. 189 and 192).
